d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
4,2,0,1.004576e+01,6.918493e+00,4.671957e-01,2.660067e+00,2.693142e+00,3.364664e-03,1.204564e+00,0.0634
4,2,250,9.300310e-01,4.191646e-01,1.310311e-01,3.798353e-01,1.270161e+00,2.434408e-03,5.681061e-01,16.4886
4,2,500,5.170858e-01,2.483061e-01,8.605885e-02,1.827209e-01,8.567032e-01,1.949569e-03,3.831785e-01,31.4250
4,2,750,4.645080e-02,3.432595e-02,7.183081e-03,4.941768e-03,1.217524e-01,2.749535e-04,5.445633e-02,45.7003
4,2,1000,1.990669e-02,1.415254e-02,3.382684e-03,2.371469e-03,8.609296e-02,1.847149e-04,3.850689e-02,60.2390
4,2,1250,1.135194e-02,8.481724e-03,1.618556e-03,1.251657e-03,6.230947e-02,1.347666e-04,2.786922e-02,74.8662
4,2,1500,7.435434e-03,5.683074e-03,9.463084e-04,8.060522e-04,5.051141e-02,1.049998e-04,2.259229e-02,91.6641
4,2,1750,1.232962e-02,8.645979e-03,7.869010e-04,2.896742e-03,4.561650e-02,1.029662e-04,2.040294e-02,115.1875
4,2,2000,3.882835e-03,2.979987e-03,4.666985e-04,4.361501e-04,3.895790e-02,7.962853e-05,1.742474e-02,130.4016
4,2,2250,3.119792e-03,2.426643e-03,3.591049e-04,3.340442e-04,3.452741e-02,7.110401e-05,1.544311e-02,144.9452
4,2,2500,2.904749e-03,2.203970e-03,3.614904e-04,3.392885e-04,3.215798e-02,6.638025e-05,1.438333e-02,159.6478
4,2,2750,2.292644e-03,1.795298e-03,2.818601e-04,2.154859e-04,2.924308e-02,6.002094e-05,1.307958e-02,176.5059
4,2,3000,5.052537e-03,3.573152e-03,6.573516e-04,8.220334e-04,3.178823e-02,6.324742e-05,1.421795e-02,192.4348
4,2,3250,1.591167e-03,1.252668e-03,1.884344e-04,1.500648e-04,2.492210e-02,5.153625e-05,1.114693e-02,209.3229
4,2,3500,1.513274e-03,1.193142e-03,1.810398e-04,1.390915e-04,2.327096e-02,4.891812e-05,1.040843e-02,226.4145
4,2,3750,1.206743e-03,9.525298e-04,1.436577e-04,1.105556e-04,2.160700e-02,4.606217e-05,9.664185e-03,240.8873
4,2,4000,1.165138e-03,9.215910e-04,1.428173e-04,1.007299e-04,1.901753e-02,4.198625e-05,8.505989e-03,256.3753
4,2,4250,2.999884e-03,2.440174e-03,1.371565e-04,4.225536e-04,4.698182e-02,8.108851e-05,2.101360e-02,270.7474
4,2,4500,8.601833e-04,6.943164e-04,9.284962e-05,7.301726e-05,1.756690e-02,4.019438e-05,7.857164e-03,284.7009
4,2,4750,9.073874e-04,6.439014e-04,1.489970e-04,1.144890e-04,1.976506e-02,4.544723e-05,8.840337e-03,299.2739
4,2,5000,8.255268e-04,6.651643e-04,7.899357e-05,8.136892e-05,2.125979e-02,4.720293e-05,9.508887e-03,317.9389
8,0,0,2.187289e+01,1.565291e+01,9.785475e-01,5.241433e+00,3.018902e+00,3.943234e-03,1.050180e+00,0.1421
8,0,250,2.983001e+00,2.073269e+00,1.690319e-01,7.407008e-01,1.757826e+00,3.837018e-03,6.114917e-01,31.7592
8,0,500,1.147491e+00,5.187440e-01,2.438156e-01,3.849311e-01,1.161414e+00,2.542424e-03,4.040191e-01,63.1491
8,0,750,5.114042e-01,2.413627e-01,1.126313e-01,1.574102e-01,7.848968e-01,2.020053e-03,2.730407e-01,132.9279
8,0,1000,2.524305e-01,1.357938e-01,5.353426e-02,6.310239e-02,4.887817e-01,1.757082e-03,1.700316e-01,184.2040
8,0,1250,9.105402e-02,6.017115e-02,1.571401e-02,1.516886e-02,2.073741e-01,6.974642e-04,7.213885e-02,216.8766
8,0,1500,6.788830e-02,3.921805e-02,9.989538e-03,1.868072e-02,2.314718e-01,3.841172e-04,8.052169e-02,267.0675
8,0,1750,2.279742e-02,1.764201e-02,2.736849e-03,2.418553e-03,7.823240e-02,1.945968e-04,2.721457e-02,293.1654
8,0,2000,1.714839e-02,1.338946e-02,1.911222e-03,1.847706e-03,6.547322e-02,1.642055e-04,2.277605e-02,320.7662
8,0,2250,2.859762e-02,2.492369e-02,2.176187e-03,1.497747e-03,7.326038e-02,1.692287e-04,2.548496e-02,347.3726
8,0,2500,1.049491e-02,8.552588e-03,9.871017e-04,9.552175e-04,5.270572e-02,1.337984e-04,1.833464e-02,374.5526
